Place,Address,Latitude,Longitude,Tips
45 Tchoup (20 New Orleans Dive Bars to Avoid Valentine’s Day ),"4529 Tchoupitoulas St, New Orleans, LA 70115",29.917048,-90.1031606,"45 Tchoup is a perfect stop before or after a show at Tipitina’s for those seeking a friendly environment and cheap drinks Uptown (not always easy). Fun, interesting decor, warm bartenders, and a solid selection of beer on tap make it a go-to, especially if you’re a Boston sports fan. "
"Abita Brewing Company (Cyling, Eating, and Drinking Along the Northshore’s Tammany Trace)","166 Barbee Rd, Covington, LA",30.48193645,-90.05653881,"The big poppa of New Orleans breweries has an excellent brewery tour and tasting room on the North Shore. The 30 minute tours include tastings and are offered every half hour on Wednesdays and Thursdays from 2 pm – 3 pm, Fridays from 1 pm – 3 pm, Saturdays from 10:30am – 3pm, and on Sundays from 2 – 3pm. If you really just want to drink Abita and eat some burgers, look up the Abita Brewhouse and Pub."
Ace Hotel New Orleans (The Hotel Bars to Visit Now (and Through the Holidays)),"600 Carondelet St, New Orleans, LA 70130",29.9483781,-90.0721617,"The Ace offers three worthy spots. The lobby bar is what a lobby should be: mostly bar with ample cushy seating arranged into cozy groupings perfect for visiting. Across the way, the ever-so-elegant French-inspired Josephine Estelle bar also serves up tasty bites from the restaurant. Finally, the rooftop bar’s pool beckons drinkers to doff their shoes and dip their toes. Fortunately, we can do this in New Orleans even in December. All offer top notch drinks served by a staff that just stepped out of an H&M ad."
Adams Street Grocery (Here are New Orleans’ Best Po-Boy Spots),"1309 Adams St, New Orleans, LA 70118",29.9455131,-90.125303,"Ask locals for the best deal on po-boys, and it won’t be long before someone points you towards this petite corner grocery tucked into a quiet Uptown neighborhood near Tulane University. Among the options you’ll find generous fried shrimp, fish, or roast beef and gravy po-boys all coming in at under $10. Another plus: Adams Street’s po-boys are served on perfectly crispy Dong Phuong bread. Take out only. Can get crowded at peak lunch hours."
Ale on Oak (Where to Watch the 2018 Super Bowl in New Orleans),"70118, 8124 Oak St, New Orleans, LA 70118",29.9477478,-90.1304092,"Another spot that shares an outdoor space with a neighboring wine bar (the owners are brother and sister), it’s a great place for both wine and beer lovers. Feast on soft pretzels with beer and cheese fondue, Two Run Farm beef debris fries, and fried oyster sliders while taking in the game. Plus, there are TVs on the dog-friendly patio at this popular Oak Street hang-out."
Algiers Central Market Inc (These Are New Orleans’ Essential Corner Stores (With Great Food)),"840 Teche St, New Orleans, LA 70114",29.946603,-90.0521163,"This is Evans go-to “cornerstore.” Photos of regulars decorate the counter in this “supremely picturesque spot.” Friendly customers and a chatty clerk full of stories, including those about Nicholas Cage who was a regular for a time, add to the appeal. Evans pick? Cold beer and a roast beef po-boy. "
Alto (Where To Eat New Orleans’ Best Hot Dogs),"600 Carondelet St, New Orleans, LA",29.948285,-90.071762,"Alto is the restaurant and bar at the rooftop pool in the Ace Hotel -- and it’s open to the public. In addition to some killer frozen drinks, this gorgeous spot serves up one of the best hot dogs in town. The BNC hot dog is a hot dog with cheddar on the inside, with mustard and  Maldon salt, served on a pretzel bun. And you get to enjoy it poolside. "
Angelo Brocato (The Most Incredible King Cake-Inspired Dishes To Try Right Now),"214 N Carrollton Ave, New Orleans, LA 70119",29.9754707,-90.0990942,"This Italian gelateria is over a century old — plenty of time to perfect a craft. For Carnival season, the adorable spot is offering vanilla gelato studded with Caluda’s traditional king cake (one of Eater NOLA’s top king cakes this season).  "
Antoine's Restaurant (Ten Spots Where the Three-Martini Lunch is Alive and Well),"713 St Louis St, New Orleans, LA 70130",29.9567404,-90.0663997,"This 175-year old restaurant captures the old New Orleans vibe with 14 stately dining rooms, many named for Mardi Gras krewes and dressed with photos of Mardi Gras royalty and memorabilia, including crowns and scepters of long-ago Carnival balls. Six days a week, diners take a seat for three-course Creole lunch for $20.18 (like the current year). Expect dishes like charbroiled oysters, drum amandine, and German chocolate cake. Plus, add a martini or three into the mix for a quarter a piece.  One per course, makes sense right? "
Antoine's Restaurant (The Best Private Dining Rooms in New Orleans),"713 St Louis St, New Orleans, LA 70130",29.9567404,-90.0663997,"The Mystery Room at Antoine’s earned its name during Prohibition when the 18th Amendment prohibited the sale of alcohol, an experiment that New Orleans never took very seriously. At Antoine’s, guests in the know could venture through a  door in the ladies’ room to a secret room and exit with a coffee cup full of booze. When someone asked the lucky imbiber where they got it, the response was, “It’s a mystery to me.” Just like that, the Mystery Room got its name. Now reserved for private dining, the space seats 20-50 people and is decorated with souvenirs from famous restaurants around the world and quirky items like Groucho Marx’s beret. Plenty of other dining rooms are available for both smaller and larger parties, so be sure to check the full list of offerings on the website. "
